daily_income,daily_expense,goal_type,goal_amount,daily_saving_capacity,recommended_daily_saving,months_to_reach_goal,profile_type
354,184,Gold,192191,170.0,56.58,36.49,student
1495,514,Education,259788,981.0,468.35,8.76,student
357,319,Gold,113532,38.0,12.16,108.07,rural
723,321,Gold,219520,402.0,131.05,17.9,student
363,134,Emergency Fund,90039,229.0,81.87,12.1,rural
2898,2247,Marriage,525140,651.0,310.43,28.65,rural
505,407,Gold,62947,98.0,31.38,19.52,rural
2703,1808,Marriage,421544,895.0,337.94,16.54,urban
2910,2536,Gold,288821,374.0,121.56,25.69,urban
564,445,Marriage,763515,119.0,40.99,227.75,rural
1918,817,Marriage,605256,1101.0,398.39,19.03,rural
386,186,Bike,140551,200.0,91.14,22.13,urban
936,340,House Downpayment,1524887,596.0,278.45,87.23,urban
631,418,Emergency Fund,30367,213.0,76.85,4.47,urban
1440,517,Emergency Fund,122352,923.0,366.98,4.0,urban
1056,193,Emergency Fund,143572,863.0,321.21,6.02,student
411,362,House Downpayment,1371774,49.0,18.17,921.17,student
2156,1874,Emergency Fund,71052,282.0,112.38,8.25,rural
481,128,House Downpayment,572951,353.0,160.33,53.26,rural
1092,127,Education,123807,965.0,412.72,4.58,urban
816,394,House Downpayment,1160747,422.0,173.14,93.8,rural
350,275,Emergency Fund,51250,75.0,33.11,22.22,student
2264,766,Bike,61140,1498.0,550.2,1.25,rural
772,251,Gold,268660,521.0,204.26,17.63,student
308,158,Gold,81399,150.0,50.99,18.19,urban
1517,1131,Marriage,613895,386.0,141.7,56.65,urban
304,233,Education,446665,71.0,27.26,191.34,student
741,332,Marriage,250586,409.0,145.85,20.0,student
914,270,Emergency Fund,79088,644.0,260.79,4.46,rural
1305,1047,House Downpayment,1167477,258.0,88.86,141.56,student
530,127,Education,274112,403.0,131.8,23.11,urban
948,592,Education,356243,356.0,129.67,34.29,student
1807,1617,Gold,193803,190.0,72.6,32.51,rural
801,212,Bike,93914,589.0,253.02,5.16,urban
476,358,Marriage,680623,118.0,38.95,185.05,rural
2638,405,House Downpayment,949600,2233.0,862.64,14.9,rural
375,172,Gold,167687,203.0,72.79,25.35,rural
1961,1572,House Downpayment,1130061,389.0,171.25,100.16,student
491,216,Marriage,431542,275.0,130.64,54.85,student
1253,895,Marriage,328040,358.0,123.88,33.45,urban
2421,1206,Emergency Fund,138337,1215.0,400.8,3.72,urban
551,446,House Downpayment,1076415,105.0,41.8,325.06,rural
2300,111,House Downpayment,1546379,2189.0,778.12,22.49,rural
1209,629,Marriage,397151,580.0,271.06,25.1,student
910,720,House Downpayment,577658,190.0,88.15,107.86,rural
2090,984,Gold,91604,1106.0,385.88,2.54,rural
425,225,Marriage,527023,200.0,91.61,86.93,student
463,215,Bike,77610,248.0,89.35,10.1,urban
513,380,Bike,99299,133.0,50.76,24.65,rural
892,618,Bike,50936,274.0,111.72,6.5,urban
309,200,House Downpayment,1659728,109.0,42.21,537.75,urban
470,136,Gold,112950,334.0,145.08,11.34,rural
457,344,Bike,83220,113.0,36.3,24.87,urban
2101,491,House Downpayment,1560279,1610.0,610.93,30.36,urban
314,235,Gold,172199,79.0,25.51,69.09,urban
2683,2309,Marriage,460339,374.0,168.22,44.75,urban
706,116,Marriage,445996,590.0,211.16,25.87,urban
306,246,Gold,155150,60.0,19.3,80.25,urban
483,389,Emergency Fund,111598,94.0,33.65,39.45,rural
1756,1379,Gold,201172,377.0,140.94,18.57,student
2227,619,Emergency Fund,88578,1608.0,691.04,1.9,student
749,359,Gold,129447,390.0,129.74,11.99,urban
1193,329,Marriage,473555,864.0,316.91,17.97,urban
343,254,Gold,186722,89.0,32.46,66.79,urban
527,184,Bike,141782,343.0,119.78,13.32,urban
1913,1193,House Downpayment,1358899,720.0,254.44,63.56,rural
1029,187,House Downpayment,1583020,842.0,276.05,65.62,urban
395,246,Marriage,755677,149.0,63.77,175.0,student
1118,993,Emergency Fund,43943,125.0,42.42,10.62,urban
526,341,Gold,102351,185.0,65.96,17.5,rural
533,146,Marriage,785799,387.0,136.79,73.34,rural
1179,794,House Downpayment,741164,385.0,176.13,68.32,rural
309,223,Emergency Fund,137558,86.0,38.86,58.2,urban
1159,129,Marriage,560538,1030.0,412.87,17.62,rural
2788,1261,Emergency Fund,73758,1527.0,718.89,1.48,student
327,184,Marriage,436864,143.0,62.71,108.73,urban
432,268,Emergency Fund,40627,164.0,75.34,7.46,rural
1521,942,Gold,150801,579.0,264.74,9.04,student
856,313,Gold,87439,543.0,219.57,5.25,student
521,269,Education,444482,252.0,114.02,57.09,rural
473,240,Marriage,589125,233.0,99.56,83.46,rural
2539,1666,Marriage,748568,873.0,310.53,27.92,urban
560,362,House Downpayment,1702666,198.0,92.47,268.61,student
551,388,Emergency Fund,41979,163.0,63.32,8.8,rural
512,368,Emergency Fund,145154,144.0,61.94,34.96,urban
2447,1800,Emergency Fund,133043,647.0,296.7,7.47,student
362,316,Education,289791,46.0,20.53,200.17,rural
2263,320,Marriage,310811,1943.0,845.8,5.39,urban
2255,922,Emergency Fund,148269,1333.0,559.35,3.69,urban
356,263,Gold,253592,93.0,32.3,94.95,student
1068,668,House Downpayment,1415214,400.0,183.28,125.44,rural
1001,570,House Downpayment,1197081,431.0,193.9,87.38,rural
339,110,Bike,111237,229.0,82.69,15.42,urban
578,146,House Downpayment,1149859,432.0,140.1,82.77,student
713,274,Education,167093,439.0,151.44,13.53,urban
645,484,Education,387168,161.0,66.55,79.26,urban
488,417,Marriage,662605,71.0,27.24,292.53,urban
525,180,Bike,74318,345.0,150.4,7.82,rural
530,212,House Downpayment,1616841,318.0,138.87,174.48,student
333,120,Marriage,645552,213.0,83.45,96.47,rural
319,228,Gold,48636,91.0,41.51,17.67,urban
2414,933,Emergency Fund,39549,1481.0,656.95,0.97,rural
1617,1131,Education,140956,486.0,229.56,9.2,rural
922,725,Education,388879,197.0,81.87,64.98,urban
1197,217,Marriage,468495,980.0,336.48,14.73,urban
2054,1572,Education,353371,482.0,159.92,25.15,rural
339,257,House Downpayment,1520420,82.0,37.78,597.1,student
2205,1777,Marriage,739000,428.0,162.31,61.79,urban
449,389,Emergency Fund,22329,60.0,21.59,13.05,rural
304,200,Gold,180144,104.0,37.38,58.41,rural
303,269,Bike,133572,34.0,14.66,119.91,urban
366,152,Bike,78212,214.0,90.5,13.13,rural
1862,570,Gold,141679,1292.0,585.41,3.42,student
2760,1999,Emergency Fund,46511,761.0,267.23,2.1,student
366,181,House Downpayment,1034523,185.0,70.46,192.46,student
1207,279,House Downpayment,635473,928.0,337.11,20.71,student
695,424,Gold,264665,271.0,112.58,32.98,student
385,342,Marriage,635847,43.0,16.06,474.87,rural
900,794,Marriage,350645,106.0,36.96,99.36,student
1628,987,House Downpayment,1603483,641.0,222.89,79.96,rural
725,134,House Downpayment,1790602,591.0,261.44,100.53,rural
1330,418,Gold,40313,912.0,376.26,1.44,urban
985,209,Education,183020,776.0,324.42,7.09,rural
2071,253,Emergency Fund,32033,1818.0,615.03,0.62,rural
995,778,House Downpayment,517943,217.0,89.39,85.62,rural
1390,939,Education,325862,451.0,150.88,23.26,urban
577,235,Bike,76227,342.0,142.43,6.82,rural
2012,818,Marriage,412729,1194.0,412.17,11.04,urban
1042,251,Education,436508,791.0,333.44,18.01,student
463,218,Gold,159375,245.0,85.72,20.53,student
1143,388,Emergency Fund,106012,755.0,276.34,4.57,student
1722,931,Education,378181,791.0,321.6,17.08,rural
1376,273,Gold,170306,1103.0,451.62,5.33,urban
843,659,Bike,97189,184.0,80.52,16.89,student
318,213,Bike,78347,105.0,37.83,23.29,urban
1391,821,Gold,199664,570.0,189.18,10.88,urban
553,120,Marriage,362252,433.0,168.14,28.94,student
432,356,Gold,214840,76.0,33.56,95.99,student
313,218,House Downpayment,1546565,95.0,32.26,509.77,student
2936,1479,Education,175924,1457.0,658.72,3.87,student
1366,287,Marriage,330518,1079.0,481.81,9.78,urban
378,319,Emergency Fund,136398,59.0,26.67,78.01,urban
2904,1112,Education,482230,1792.0,784.97,8.64,rural
1119,990,Education,231530,129.0,47.49,58.4,rural
1385,281,Emergency Fund,42212,1104.0,424.34,1.3,student
2012,1690,Emergency Fund,40011,322.0,139.79,3.87,rural
2129,1281,House Downpayment,1111805,848.0,334.07,40.13,urban
317,231,House Downpayment,1949891,86.0,40.39,824.75,student
836,421,Education,159857,415.0,160.76,13.56,urban
1706,309,Education,153715,1397.0,519.98,3.91,student
1890,137,Marriage,503247,1753.0,743.47,10.18,rural
2827,1467,House Downpayment,1770961,1360.0,647.08,41.67,student
990,642,Gold,233177,348.0,156.5,24.34,student
1080,345,Gold,268022,735.0,240.38,11.85,urban
2271,1707,Bike,127495,564.0,240.27,7.71,student
410,273,Bike,134457,137.0,54.1,30.28,urban
2116,198,Marriage,290548,1918.0,734.83,5.51,urban
406,182,House Downpayment,1964962,224.0,104.83,265.66,student
2331,1209,House Downpayment,515622,1122.0,366.75,15.8,rural
1442,138,Bike,72457,1304.0,424.93,1.89,rural
507,138,Bike,142569,369.0,140.82,13.42,urban
2817,290,House Downpayment,977007,2527.0,812.89,12.87,student
497,243,Marriage,293641,254.0,105.85,40.25,urban
425,278,Marriage,521293,147.0,68.33,126.92,rural
1807,950,Bike,74614,857.0,342.23,2.98,rural
581,498,Marriage,754632,83.0,35.57,305.9,urban
531,393,Education,216374,138.0,61.87,49.83,urban
430,385,Emergency Fund,43548,45.0,17.19,29.56,rural
320,161,Gold,236779,159.0,61.08,53.61,urban
2213,878,Bike,92796,1335.0,620.62,2.1,student
350,124,Bike,84592,226.0,74.89,13.72,urban
2479,1322,Education,386515,1157.0,507.6,10.44,urban
1110,422,Emergency Fund,90540,688.0,320.21,4.68,student
597,116,Emergency Fund,133014,481.0,196.96,9.5,rural
938,841,Education,460100,97.0,33.46,165.53,urban
1644,769,Gold,270033,875.0,363.33,10.11,urban
538,141,Bike,124163,397.0,141.98,10.41,rural
389,158,Marriage,529103,231.0,86.16,71.69,rural
417,283,Emergency Fund,124637,134.0,44.44,27.91,rural
593,393,House Downpayment,1576322,200.0,89.38,240.71,urban
576,368,Emergency Fund,26325,208.0,85.12,3.96,student
2490,1635,House Downpayment,965406,855.0,368.38,33.92,student
1503,836,Emergency Fund,62358,667.0,242.07,3.12,urban
1215,152,Education,477803,1063.0,423.08,14.32,urban
1377,1157,Marriage,205251,220.0,80.56,31.11,student
958,672,Emergency Fund,57593,286.0,127.48,6.94,urban
864,593,Emergency Fund,78499,271.0,127.15,10.59,urban
1702,1355,House Downpayment,596214,347.0,141.44,55.25,urban
2530,1144,Emergency Fund,49879,1386.0,515.98,1.1,rural
565,323,Bike,84072,242.0,99.55,11.75,urban
742,304,Education,215324,438.0,171.99,16.95,student
2492,1153,Bike,126629,1339.0,510.79,2.97,rural
303,218,House Downpayment,1003952,85.0,31.27,400.07,student
2229,206,Marriage,327501,2023.0,681.72,5.8,student
447,136,Gold,172645,311.0,126.45,17.61,student
509,199,Gold,67584,310.0,100.29,6.8,student
497,124,House Downpayment,1609853,373.0,131.98,139.54,urban
2352,1026,Gold,181159,1326.0,549.71,4.29,rural
2194,337,Gold,226225,1857.0,807.67,4.11,urban
2066,1709,Marriage,569841,357.0,119.34,49.75,urban
1159,196,Gold,43478,963.0,389.49,1.65,urban
537,392,Marriage,304628,145.0,47.74,72.56,urban
2780,2017,Emergency Fund,47808,763.0,364.95,1.92,urban
886,133,Education,394365,753.0,263.88,15.75,rural
1893,775,Emergency Fund,27119,1118.0,381.16,0.78,rural
2654,951,Bike,82152,1703.0,567.0,1.71,student
2119,598,Emergency Fund,36399,1521.0,505.01,0.79,student
1633,937,Education,434639,696.0,283.26,21.41,urban
2359,1431,Gold,192003,928.0,351.58,7.18,urban
1837,1379,Marriage,344909,458.0,219.11,25.92,rural
512,335,Gold,160727,177.0,68.69,31.27,student
995,422,Bike,83235,573.0,210.09,5.02,urban
1355,472,Bike,115809,883.0,303.46,4.11,student
2400,1092,Marriage,757962,1308.0,588.14,17.9,student
363,286,Bike,132502,77.0,31.99,58.03,student
321,200,Emergency Fund,88244,121.0,57.88,23.76,student
1258,293,Gold,268386,965.0,431.4,9.3,urban
1649,389,Gold,144381,1260.0,545.53,4.14,urban
2953,891,House Downpayment,593587,2062.0,952.09,10.0,student
574,245,Bike,104324,329.0,136.24,11.11,urban
304,214,House Downpayment,612221,90.0,31.6,223.81,rural
410,307,Emergency Fund,113704,103.0,34.8,33.31,rural
877,176,Bike,121062,701.0,315.3,5.46,student
2693,1986,Emergency Fund,73025,707.0,282.22,3.42,urban
1492,142,Gold,105394,1350.0,471.78,2.37,rural
1231,990,Marriage,750263,241.0,115.04,99.98,urban
1152,232,Education,349138,920.0,313.44,13.17,student
516,257,Bike,140120,259.0,105.15,18.5,student
1229,361,Marriage,416530,868.0,310.38,14.47,student
487,435,Gold,231827,52.0,21.95,156.46,urban
1177,114,House Downpayment,1771981,1063.0,361.45,51.15,urban
1730,132,Education,340050,1598.0,513.67,7.8,rural
2758,641,Gold,54938,2117.0,823.08,0.84,urban
1346,326,Marriage,557333,1020.0,344.13,16.66,student
938,123,House Downpayment,696494,815.0,305.06,26.07,student
2196,577,Education,469175,1619.0,715.71,10.38,rural
2593,656,Marriage,329460,1937.0,712.31,5.48,student
1358,637,Bike,60392,721.0,245.52,2.96,rural
2256,819,Gold,191461,1437.0,671.22,4.64,urban
529,114,Education,176268,415.0,168.25,13.91,student
1356,360,Bike,77756,996.0,386.79,2.75,rural
613,291,Gold,88988,322.0,150.03,9.23,rural
2377,1005,Marriage,274109,1372.0,507.43,6.0,urban
1119,461,Emergency Fund,145807,658.0,273.85,7.92,urban
600,313,Marriage,444157,287.0,131.26,55.74,student
1267,1055,Bike,60576,212.0,95.47,10.38,student
2335,1122,House Downpayment,1856050,1213.0,571.81,47.81,rural
470,185,Bike,74438,285.0,108.43,8.41,student
921,545,House Downpayment,1497218,376.0,168.41,119.98,urban
680,566,Education,273018,114.0,48.75,77.48,student
440,250,Education,389614,190.0,81.79,63.98,rural
2466,1566,House Downpayment,1153967,900.0,395.58,42.78,urban
2597,1793,Marriage,650695,804.0,299.63,29.37,student
2022,575,Gold,158681,1447.0,479.22,3.98,rural
2804,1624,House Downpayment,1885880,1180.0,406.23,51.08,rural
446,283,Bike,83350,163.0,75.01,18.4,rural
1394,652,Emergency Fund,115584,742.0,280.41,5.3,urban
2329,297,Marriage,625188,2032.0,872.52,10.67,student
2812,1447,Marriage,382272,1365.0,628.7,10.05,student
1024,872,Emergency Fund,75223,152.0,64.73,17.4,student
1387,586,Marriage,717578,801.0,380.63,29.61,rural
881,752,Gold,138900,129.0,56.15,35.34,rural
306,113,Gold,75017,193.0,87.77,13.42,urban
428,299,Education,423524,129.0,43.07,115.81,urban
1652,761,House Downpayment,800252,891.0,366.58,31.31,urban
846,309,Emergency Fund,130656,537.0,248.9,8.15,rural
1376,1219,Emergency Fund,37029,157.0,53.88,8.5,urban
2252,452,Gold,212356,1800.0,643.62,3.62,urban
1162,132,Emergency Fund,99337,1030.0,333.2,3.43,student
412,221,Marriage,269779,191.0,66.81,45.05,rural
1278,521,Emergency Fund,108049,757.0,348.61,4.32,student
498,216,Marriage,543323,282.0,107.85,61.87,urban
511,426,Gold,189528,85.0,35.17,79.23,student
2616,415,House Downpayment,1987698,2201.0,986.81,28.75,rural
367,210,Emergency Fund,134768,157.0,66.86,27.74,urban
2515,1160,Emergency Fund,26620,1355.0,526.03,0.68,urban
510,180,Marriage,386649,330.0,149.84,40.66,student
352,310,Education,272460,42.0,14.98,228.91,student
2320,595,Education,289217,1725.0,581.69,5.41,rural
2021,135,Education,419992,1886.0,649.38,7.54,urban
1001,565,Marriage,732595,436.0,152.31,52.9,student
459,241,Bike,98918,218.0,101.63,14.58,urban
914,115,Education,475683,799.0,295.31,21.65,urban
2767,1473,Gold,163585,1294.0,467.72,4.3,student
2691,2044,Gold,48943,647.0,250.92,2.47,rural
1871,218,Bike,149249,1653.0,577.85,3.17,urban
1677,545,Bike,97885,1132.0,459.02,2.76,student
1502,221,Marriage,209078,1281.0,583.0,5.33,student
418,343,House Downpayment,1301316,75.0,34.64,588.14,student
1899,768,Bike,66283,1131.0,540.88,1.98,rural
640,194,Gold,99842,446.0,176.34,6.89,urban
672,418,Marriage,537813,254.0,102.8,67.07,urban
533,285,Bike,90024,248.0,93.89,11.49,student
870,394,Education,469845,476.0,174.97,35.45,rural
501,106,Marriage,207171,395.0,167.58,15.82,urban
350,160,Bike,116827,190.0,66.12,21.98,student
1297,438,Bike,130357,859.0,409.29,4.79,rural
422,365,Marriage,523577,57.0,22.31,279.05,urban
547,283,Gold,243191,264.0,97.9,27.91,urban
2966,2330,Education,160664,636.0,206.13,8.3,urban
1059,849,Education,354758,210.0,82.27,50.98,urban
2396,1210,Gold,272118,1186.0,460.73,8.31,rural
2196,1726,Gold,117429,470.0,224.15,7.62,student
2586,444,Education,458104,2142.0,782.63,7.17,rural
2379,1285,Bike,104185,1094.0,515.79,3.44,rural
1374,1055,Marriage,339202,319.0,113.22,36.19,student
2523,2186,Gold,290992,337.0,114.29,29.27,urban
1013,561,Bike,127171,452.0,181.56,10.27,student
557,454,Education,105366,103.0,35.36,35.95,rural
536,444,Gold,138087,92.0,35.94,50.31,student
2127,1008,Emergency Fund,130407,1119.0,378.36,3.9,urban
386,180,Gold,181789,206.0,88.93,31.43,urban
514,340,Bike,104641,174.0,75.16,18.31,urban
2091,606,Emergency Fund,146754,1485.0,590.2,3.23,rural
429,152,Bike,82122,277.0,107.65,10.48,urban
512,429,Marriage,396244,83.0,29.52,168.9,student
304,135,House Downpayment,1222524,169.0,67.05,240.71,urban
1280,179,House Downpayment,1878321,1101.0,462.66,62.36,student
884,663,House Downpayment,1700083,221.0,97.7,250.9,urban
2861,2212,Marriage,353485,649.0,215.07,17.2,student
2941,1441,Emergency Fund,66554,1500.0,566.81,1.42,student
399,140,Marriage,660667,259.0,110.86,85.79,rural
2982,1326,Gold,160679,1656.0,716.19,3.53,student
393,286,Gold,71832,107.0,44.07,23.83,student
310,244,House Downpayment,1719395,66.0,29.12,924.98,student
2162,601,Bike,81770,1561.0,732.12,1.8,rural
620,503,Bike,93971,117.0,42.62,29.19,urban
2052,745,Emergency Fund,47182,1307.0,471.9,1.18,rural
413,259,Bike,98700,154.0,54.05,19.85,urban
980,367,Emergency Fund,91458,613.0,260.63,5.2,urban
375,285,House Downpayment,819084,90.0,39.62,305.09,urban
300,111,Bike,139425,189.0,70.67,26.92,urban
1734,1397,Marriage,682033,337.0,153.94,74.08,rural
657,208,Education,487496,449.0,173.31,34.99,urban
1001,763,Marriage,393217,238.0,84.88,56.55,student
454,317,House Downpayment,929924,137.0,44.82,231.57,student
546,319,Bike,126022,227.0,92.94,19.91,rural
2692,779,Marriage,693327,1913.0,843.83,12.1,urban
1323,932,Emergency Fund,42614,391.0,165.92,3.94,urban
715,263,Emergency Fund,109755,452.0,145.72,8.59,rural
2320,285,Marriage,337217,2035.0,761.19,5.8,urban
807,607,Bike,127727,200.0,68.06,21.66,rural
941,226,Gold,117033,715.0,244.96,5.13,rural
1841,843,House Downpayment,617352,998.0,383.17,22.05,rural
492,134,Gold,209585,358.0,124.57,19.51,urban
628,538,Emergency Fund,23666,90.0,30.43,9.35,urban
749,520,Gold,70438,229.0,100.94,11.23,rural
557,343,Marriage,275566,214.0,70.42,43.67,rural
1096,875,House Downpayment,793451,221.0,89.81,129.46,student
2939,946,Education,412018,1993.0,729.72,7.38,student
1432,211,House Downpayment,1273918,1221.0,526.11,32.43,rural
398,291,House Downpayment,1714158,107.0,43.92,536.24,student
314,142,House Downpayment,1156127,172.0,57.9,219.99,rural
496,289,House Downpayment,707548,207.0,74.99,119.8,rural
1121,645,Emergency Fund,135060,476.0,190.29,9.09,urban
2945,1703,Marriage,214950,1242.0,560.51,5.47,student
845,474,House Downpayment,524522,371.0,176.77,45.62,student
1804,1368,Education,144998,436.0,156.47,10.81,student
1089,155,Marriage,677221,934.0,398.46,24.53,rural
411,294,Marriage,520916,117.0,47.47,145.09,student
2407,1588,Marriage,587963,819.0,264.97,23.33,rural
1089,436,Marriage,725051,653.0,266.18,36.94,rural
1897,330,Gold,92029,1567.0,729.23,1.79,rural
536,347,Emergency Fund,128426,189.0,76.88,23.92,student
476,133,Marriage,770910,343.0,159.32,78.39,student
2770,2332,Education,125321,438.0,186.48,10.29,urban
795,206,House Downpayment,596996,589.0,256.67,30.76,student
1294,236,House Downpayment,1436184,1058.0,498.69,42.77,rural
457,226,House Downpayment,726581,231.0,75.81,105.35,rural
2963,1740,Education,425733,1223.0,449.72,12.51,student
2578,451,Bike,77546,2127.0,854.95,1.12,student
1142,994,Marriage,311070,148.0,67.57,63.81,student
1315,1053,Emergency Fund,21138,262.0,91.31,2.72,rural
653,479,House Downpayment,1689092,174.0,80.34,347.87,student
2662,2175,Emergency Fund,124953,487.0,167.12,8.34,student
493,392,Marriage,364829,101.0,36.88,120.9,student
1069,313,House Downpayment,1057454,756.0,308.95,47.06,urban
1601,1121,House Downpayment,720030,480.0,184.12,45.78,urban
2232,1758,Gold,266386,474.0,153.44,17.62,rural
1760,640,Marriage,383845,1120.0,504.86,11.31,urban
1881,1541,Education,293055,340.0,130.1,28.74,urban
316,173,Bike,142623,143.0,66.06,32.25,rural
1417,850,Education,306878,567.0,241.16,19.8,urban
2554,924,Bike,106979,1630.0,549.47,2.04,rural
1049,667,Education,200277,382.0,148.21,16.43,student
388,136,Emergency Fund,57535,252.0,119.89,7.68,rural
423,333,Education,136176,90.0,42.97,53.3,student
1061,354,Gold,208978,707.0,280.73,8.92,urban
588,208,Education,272437,380.0,141.16,25.56,urban
1058,689,Emergency Fund,131860,369.0,167.4,12.58,student
766,601,Marriage,793337,165.0,57.22,157.82,student
2498,978,Marriage,726116,1520.0,673.76,15.38,urban
1308,397,Gold,264966,911.0,384.6,9.16,student
1009,164,Bike,123837,845.0,375.18,5.28,student
1021,349,Gold,256855,672.0,247.65,11.51,student
2984,346,Education,317647,2638.0,957.0,4.22,rural
2573,2058,Emergency Fund,28770,515.0,242.4,2.02,student
613,385,Gold,213261,228.0,83.95,29.54,student
2494,580,Bike,114864,1914.0,716.71,1.91,student
374,168,House Downpayment,1173599,206.0,97.81,192.54,student
1039,443,Bike,50652,596.0,241.17,3.07,urban
1463,825,Education,404680,638.0,237.41,19.07,student
2227,127,House Downpayment,1665708,2100.0,818.65,27.7,student
1968,1223,Emergency Fund,31922,745.0,293.54,1.48,urban
361,187,Bike,98634,174.0,80.72,20.52,rural
1338,1202,Marriage,496193,136.0,51.26,116.62,student
1446,1075,Bike,94685,371.0,119.62,8.25,rural
2651,2013,Marriage,457630,638.0,223.82,26.12,student
1225,547,House Downpayment,597278,678.0,293.0,28.21,urban
2959,1761,Emergency Fund,20517,1198.0,432.72,0.54,rural
728,520,Bike,139245,208.0,74.78,22.79,urban
316,167,Gold,171406,149.0,55.59,34.9,urban
788,640,Gold,173247,148.0,62.32,42.78,urban
2422,504,Emergency Fund,71127,1918.0,870.7,1.26,urban
1765,254,Gold,198003,1511.0,510.86,4.74,student
609,155,House Downpayment,1916797,454.0,211.01,131.94,urban
481,321,Gold,185353,160.0,63.12,35.75,rural
410,236,Gold,275139,174.0,63.5,52.94,urban
1081,288,Emergency Fund,128527,793.0,341.67,5.33,urban
336,260,Marriage,742408,76.0,29.54,322.79,rural
1710,682,Gold,275078,1028.0,476.57,8.31,student
1004,772,Emergency Fund,31747,232.0,77.21,4.57,rural
762,288,Marriage,596705,474.0,185.71,43.8,urban
1310,504,Marriage,302027,806.0,321.34,11.64,student
1247,230,Marriage,324282,1017.0,442.02,11.45,urban
2685,914,Bike,85140,1771.0,742.46,1.68,rural
477,329,Bike,120807,148.0,68.79,27.18,urban
1297,479,Gold,270249,818.0,295.01,11.36,rural
913,389,Education,418231,524.0,181.83,24.68,urban
1297,846,Gold,260394,451.0,188.24,18.71,rural
1562,249,Education,215499,1313.0,511.49,5.06,urban
1045,842,Marriage,472193,203.0,77.92,80.32,student
1778,1008,Emergency Fund,91657,770.0,251.0,4.01,student
601,254,Gold,188332,347.0,114.34,19.66,rural
2458,647,Education,168453,1811.0,821.21,3.17,urban
1176,896,Bike,95665,280.0,103.38,12.37,student
800,420,House Downpayment,563719,380.0,158.46,45.17,student
2615,1012,Gold,74536,1603.0,576.39,1.59,rural
1123,549,House Downpayment,960614,574.0,258.82,60.76,student
729,408,Gold,227958,321.0,135.59,25.18,student
1899,231,Gold,277229,1668.0,730.44,5.74,rural
2292,1337,Marriage,340330,955.0,452.48,13.0,student
388,311,Bike,102056,77.0,25.42,43.42,rural
1177,677,Gold,141231,500.0,193.82,9.45,rural
1779,1359,Education,458671,420.0,192.88,38.58,student
586,163,Education,331328,423.0,158.71,25.09,student
1482,1160,Gold,101090,322.0,112.56,10.62,student
1786,633,Education,444325,1153.0,459.62,13.55,student
765,595,Gold,82256,170.0,64.71,16.81,urban
1023,594,Bike,91787,429.0,197.17,7.27,rural
493,183,Marriage,277758,310.0,136.74,27.83,rural
490,227,Marriage,255647,263.0,87.8,31.29,rural
1703,1348,Gold,176609,355.0,123.95,16.61,urban
2745,2094,Gold,298902,651.0,258.99,15.8,urban
2937,246,Marriage,764436,2691.0,1228.03,10.33,student
390,134,Education,269968,256.0,99.62,38.66,student
347,112,Education,349900,235.0,103.83,50.76,student
500,256,Emergency Fund,121995,244.0,98.24,15.09,rural
495,113,House Downpayment,994536,382.0,129.89,91.09,student
523,313,House Downpayment,754673,210.0,78.01,124.24,student
392,110,Emergency Fund,64558,282.0,107.4,8.11,urban
677,464,Gold,257931,213.0,74.63,43.28,urban
764,350,House Downpayment,1245519,414.0,173.22,92.01,rural
2020,1263,Education,271305,757.0,345.82,11.45,student
1488,562,House Downpayment,603833,926.0,332.74,21.04,student
430,161,Bike,95661,269.0,107.85,11.21,rural
1224,551,House Downpayment,1030762,673.0,222.23,53.46,urban
1294,791,Education,143809,503.0,220.1,9.35,student
971,255,Gold,90510,716.0,249.17,4.51,rural
1398,1105,Bike,126882,293.0,113.15,14.37,urban
1680,1012,Emergency Fund,126327,668.0,307.09,6.14,urban
1858,835,Education,175312,1023.0,392.05,5.73,urban
2587,1092,Marriage,761064,1495.0,498.34,15.82,urban
837,242,Bike,146359,595.0,200.12,7.95,student
848,223,Emergency Fund,146809,625.0,275.84,8.23,student
357,101,Education,132974,256.0,121.15,15.9,urban
368,321,House Downpayment,1720602,47.0,21.78,1270.22,rural
590,139,Bike,82241,451.0,178.85,6.51,urban
533,243,Education,404685,290.0,99.0,49.51,urban
2186,1153,Emergency Fund,91846,1033.0,480.81,2.94,urban
757,413,Bike,79064,344.0,160.84,7.65,student
995,167,Gold,257623,828.0,268.16,9.56,urban
561,245,Marriage,334352,316.0,139.76,37.5,student
676,258,House Downpayment,891862,418.0,136.9,74.88,urban
1866,1158,Bike,149716,708.0,282.15,7.03,urban
2385,885,Emergency Fund,32123,1500.0,603.08,0.67,rural
1841,1179,Marriage,611091,662.0,240.12,30.04,rural
1649,282,Bike,129518,1367.0,455.48,3.36,student
1111,567,Education,178378,544.0,248.2,10.04,student
1400,190,Education,233261,1210.0,573.53,6.82,student
1630,444,Education,379192,1186.0,480.1,11.32,student
1949,921,Education,257642,1028.0,358.26,8.04,student
347,273,Education,124207,74.0,34.38,55.1,student
1258,515,Bike,85745,743.0,324.56,4.01,rural
1485,1280,Marriage,398047,205.0,84.57,60.3,urban
1127,455,Emergency Fund,99096,672.0,305.41,4.49,urban
308,171,Education,331827,137.0,55.03,80.18,student
2166,1153,Marriage,646304,1013.0,439.86,22.33,rural
349,137,Gold,133421,212.0,77.91,22.39,rural
1444,363,House Downpayment,698553,1081.0,431.19,20.59,rural
